Город,Средняя зарплата
Нечаевка (Дагестан),67500.0
Сафоново (Мурманская область),67500.0
Идринское,67500.0
Раздольная (Краснодарский край),67500.0
Привольная (Краснодарский край),67500.0
Инжавино,67485.0
Приволжский (Республика Марий Эл),67456.0
Шахтерск (Сахалинская область),67430.0
Чёрное (Московская область),67375.0
Шахтерск (Украина),67361.0
Новое Ступино,67336.0
Московский,67286.0
Солнцево (Московская область),67179.0
Щербинка,67079.0
Амурск,67045.0
Павелец,67038.0
Афонино,67004.0
Усть-Кут,66999.0
Ургенч,66976.0
Горный (Забайкальский край),66929.0
Кировская область,66926.0
Софрино,66921.0
Айхал,66885.0
Железнодорожный,66872.0
Свободный,66811.0
Сабетта,66750.0
Циолковский,66710.0
Балахта (Красноярский край),66684.0
Южно-Курильск,66678.0
Юбилейный (Московская область),66676.0
Петелино (Тюменская область),66667.0
Волоколамск  (Московская область),66650.0
Зеленогорск (Ленинградская обл),66626.0
Назия,66625.0
Электросталь (Московская область),66547.0
Фёдоровское (Ленинградская область),66518.0
Нижний Новгород,66513.0
Тельма,66500.0
Софьино (Раменский район),66479.0
Истра,66440.0
Старая Купавна,66409.0
Краснозаводск,66380.0
Кадниковский,66375.0
Таксимо,66369.0
Лесогорск,66350.0
Залесово,66333.0
Малаховка (Московская область),66327.0
Вача,66303.0
Томск,66299.0
Кольцово (Новосибирская область),66283.0
Сергеевка (Северо-Казахстанская область),66272.0
Лиинахамари,66250.0
Снежногорск (Красноярский край),66250.0
Красногвардейский (Артёмовский городской округ),66250.0
Большие Салы,66250.0
Дружная Горка (Ленинградская область),66250.0
Большой Лог,66250.0
Таежный,66234.0
Климовск (Московская область),66203.0
"Черкизово (Московская область, Пушкинский район)",66194.0
Решетиха,66178.0
Реутов (Московская область),66126.0
Высоцкое (Ставропольский край),66125.0
Затеречный,66125.0
"Починки (Московская область, городской округ Егорьевск)",66077.0
Коашва,66000.0
Елкин,66000.0
Воротынск,65990.0
Горный (Саратовская область),65958.0
Карымское,65822.0
Печенга,65800.0
Марфино (Московская область),65788.0
Мотыгино,65784.0
Чистогорский,65762.0
Жуковский,65757.0
Долгое,65750.0
Озерный,65750.0
Киевский,65711.0
Приморск (Волгоградская область),65703.0
Раменки (Московская область),65688.0
Коелга,65600.0
Колтуши,65538.0
Крымгиреевское,65500.0
Вольно-Надеждинское,65349.0
Мариуполь,65317.0
Новый Хушет,65312.0
Абан,65301.0
Щелково,65285.0
Судиславль,65283.0
Усть-Абакан,65278.0
Усинск,65241.0
Алабино,65205.0
Кулотино,65167.0
Марёво,65167.0
Магистральный,65165.0
Трудармейский,65162.0
Губкинский,65145.0
Озеры,65111.0
Балашиха,65061.0
Троебортное,65050.0
Магас,65002.0
Нижняя Омка,65001.0
Жилёво,65000.0
Октемцы,65000.0
Новые Ляды,65000.0
Мухоршибирь,65000.0
Верхние Ачалуки,65000.0
Смолино,65000.0
Старые Атаги,65000.0
Дондуковская,65000.0
Верхняя Сысерть,65000.0
Таёжный,65000.0
Анди,65000.0
Солонешное,65000.0
Ойсхара,65000.0
"Ивановка (Ивановский район, Амурская область)",65000.0
Кошурниково,65000.0
Дзержинский,64971.0
Краснооктябрьский,64938.0
Меленск,64912.0
Тарко-Сале,64907.0
Яр-Сале,64875.0
Смоленская,64875.0
Каражал,64871.0
Петропавловск-Камчатский,64807.0
Потьма,64800.0
Республика Конго,64777.0
Домодедово,64746.0
Магдагачи,64730.0
Горные Ключи,64667.0
Троицк (Московская область),64650.0
Коммунарка,64547.0
Вознесенье (Ленинградская область),64533.0
Чукотский АО,64499.0
Красногородск,64490.0
Шимск,64466.0
Донецк (Украина),64414.0
Ташкент,64398.0
Нижнетроицкий,64375.0
Шимановск,64360.0
Камбарка,64278.0
Бишкек,64267.0
Совхозный (Краснодарский край),64250.0
Старая Станица (Краснодарский край),64250.0
Быково (Московская область),64218.0
Украинка,64206.0
Кунашак,64167.0
Толмачёво (Ленинградская область),64107.0
Стрельна,64106.0
Сумкино (Тюменская область),64105.0
Старый Городок (Одинцовский район),64083.0
Аксарка,64000.0
Тамбовка,64000.0
Мочище,64000.0
Угловка,64000.0
Аксай (Казахстан),63959.0
Севастополь,63922.0
Куркино,63900.0
Хабары,63889.0
Покачи,63870.0
"Октябрьский (Московская область, Люберецкий район)",63841.0
Раменское,63818.0
Мга,63766.0
Любань (Ленинградская область),63751.0
Антипино,63750.0
Видное,63733.0
Петухово,63723.0
Плес,63689.0
Тайжина,63683.0
Троицкое (Сахалинская область),63667.0
Белоозёрский (Московская область),63644.0
Юганец,63593.0
Слободище (Брянская область),63580.0
Червишево,63500.0
Терновская,63500.0
Широчанка,63500.0
Чамлыкская,63500.0
Цибанобалка,63500.0
Прасковея,63500.0
Старопавловская,63500.0
Величаевское,63500.0
Спицевка,63500.0
Блечепсин,63500.0
Русское (Ставропольский край),63500.0
Сотниковское,63500.0
Каясула,63500.0
Старая Ладога,63500.0
Первомайское (Ставропольский край),63500.0
Галюгаевская,63500.0
Нины,63500.0
Фастовецкая,63500.0
Зирган,63500.0
Покойное,63500.0
Улькан,63500.0
Ждановский,63497.0
Салехард,63480.0
Бронницы,63426.0
Лальск,63374.0
Коломна (Московская область),63354.0
Беларусь,63337.0
Решёты (Свердловская область),63333.0
Токарево (Свердловская область),63333.0
Тогул,63333.0
Некрасово (Свердловская область),63333.0
Платоново (Свердловская область),63333.0
Табуны,63333.0
Марамзино (Свердловская область),63333.0
Поварня (Свердловская область),63333.0
Луговской,63333.0
Киселевка (Свердловская область),63333.0
Сростки,63333.0
Сусуман,63333.0
Светловодск,63332.0
Ступино,63265.0
Люберцы,63264.0
Неболчи,63250.0
Байкит,63250.0
Нововаршавка,63250.0
Пущино,63243.0
Тигиль,63167.0
Московская область,63083.0
Пушкино (Московская область),63077.0
Урай,63075.0
Воркута,63048.0
Сим,63048.0
Дрогобыч,63020.0
Николаевск-на-Амуре,63003.0
Виноградный (Крымский район),63000.0
Лыткарино,62957.0
Сатинка,62938.0
Усть-Катав,62919.0
Вишневогорск,62857.0
Эквадор,62849.0
Калининград,62840.0
Заводской (Северная Осетия),62800.0
Якутск,62770.0
Панковка,62714.0
Звенигород,62693.0
Котельники,62688.0
Аскарово,62643.0
Солнечногорск,62643.0
Красные Баки,62633.0
Красный Бор (Ленинградская область),62629.0
Маячный (Башкортостан),62583.0
Перу,62570.0
Красный Октябрь,62562.0
Жаворонки (Крым),62556.0
Большое Болдино,62552.0
Сапожок,62549.0
Талдом,62535.0
Октябрьский (Амурская область),62500.0
Самашки,62500.0
Парковый,62500.0
Прогресс (Амурская область),62500.0
Абрамовка,62500.0
Тюбе,62500.0
Ленинкент (Махачкала),62500.0
Коркмаскала,62500.0
Шамхал-Термен,62500.0
Березовка (Амурская область),62500.0
Холбон,62500.0
Глебовка (Краснодарский край),62500.0
Чермен,62500.0
Шкотово,62500.0
Запорожье,62490.0
Краснодар,62459.0
Часцы,62452.0
Палатка (Магаданская область),62419.0
Ершичи,62375.0
Дорохово (Московская область),62357.0
Акколь,62356.0
Гавриловка Вторая,62250.0
Апрелевка,62249.0
Емва,62245.0
Приморск (Ленинградская область),62239.0
Адлер,62211.0
Голицыно,62190.0
Черепеть,62188.0
Александровск (Луганская область),62186.0
Скадовск,62177.0
Надежда (Ставропольский край),62167.0
Бухара,62087.0
Кормиловка,62062.0
Дульдурга,62000.0
Ясная Поляна (Тульская область),62000.0
Саянский,62000.0
Эстосадок,61994.0
Родники (Челябинская область),61917.0
Новомышастовская,61896.0
Мундыбаш,61875.0
Азово,61875.0
Обухово,61807.0
Кильмезь (Кировская область),61792.0
Самара,61777.0
Тура (Красноярский край),61721.0
Кирицы,61718.0
Александро-Невский,61683.0
Селятино,61677.0
Черемушки,61667.0
Солнцево (Курская область),61667.0
Зольская,61625.0
Голынки,61625.0
Тоншаево,61593.0
Подгорное,61580.0
Лакаш,61516.0
Дмитров,61514.0
Бытошь,61507.0
Колосовка,61500.0
Красногвардеец,61500.0
"Прогресс (Янаульский район, Башкортостан)",61464.0
Нижнесортымский,61446.0
Тихвин,61436.0
Ноглики,61380.0
Электрогорск,61377.0
Смоленщина,61375.0
Жешарт,61375.0
Артемовск (Красноярский край),61364.0
Холмск,61353.0
Тында,61336.0
Аромашево,61286.0
Шлиссельбург,61259.0
Залукокоаже,61250.0
Мортка,61250.0
Зырянское,61250.0
Новоликеево,61150.0
Кубинка,61046.0
Посьет,61000.0
Красногвардейское (Адыгея),61000.0
Чехов,60913.0
Пурпе,60879.0
Барвиха,60868.0
Приморка,60833.0
Тернополь,60807.0
Искра (Рязанский район),60784.0
Парголово,60765.0
Пашия,60750.0
Колпино,60723.0
Поддорье,60708.0
Бобровка (Челябинская область),60700.0
Клин,60683.0
Кокошкино,60668.0
Рощино (Челябинская область),60667.0
Тёткино,60667.0
Красный Пахарь (Ставропольский край),60667.0
Кант,60637.0
Камские Поляны,60618.0
Красные Липки,60578.0
Хабаровск,60553.0
Марокко,60547.0
Лихтенштейн,60547.0
Ногинск,60531.0
Шуруповский,60500.0
Долаково,60500.0
Тучково,60499.0
Яхрома,60466.0
Винница,60442.0
Солтон,60438.0
Монино,60426.0
Кривандино (Московская область),60420.0
Республика Крым,60416.0
Ключи,60400.0
Пролетарий,60333.0
Кингисепп,60329.0
Омск,60280.0
Томская область,60249.0
Наро-Фоминск,60220.0
Ханты-Мансийск,60208.0
Молоково,60205.0
Супонево,60188.0
Путеец (Коми),60167.0
Кожва,60167.0
Грязное (Рязанская область),60161.0
Алтухово (Брянская область),60148.0
"Михали (Московская область, городской округ Егорьевск)",60107.0
Барыбино,60088.0
Передовая (Краснодарский край),60083.0
Горно-Алтайск,60063.0
Таганрог,60018.0
Экажево,60000.0
Касансай,60000.0
"Курск (Волосовский район, Ленинградская область)",60000.0
Поречье,60000.0
Белое (Новосибирская область),60000.0
Каменское (Камчатский край),60000.0
Мингрельская,60000.0
Сахалинская область,60000.0
Серебряные Пруды (Московская область),60000.0
Григорово,60000.0
Северо-Енисейский,60000.0
Тарасово (Ленинградская область),60000.0
Южный (Челябинская область),60000.0
Нейво-Рудянка,60000.0
Заозерное (Челябинская область),60000.0
Бурмакино,60000.0
Хрущево,60000.0
Уптар,60000.0
Садовый (Ленинградская область),60000.0
Выдрино,60000.0
Красный Октябрь (Курганская область),60000.0
Тепловка,60000.0
Шаранга,59905.0
Новосиль,59864.0
Островцы (Московская область),59852.0
Тамбовка (Амурская область),59833.0
Ужгород,59826.0
Пересвет,59823.0
Ивановское (Ставропольский край),59800.0
Большие Вязёмы,59791.0
Мурмино,59774.0
"Калтасы (Калтасинский район, Башкортостан)",59760.0
Агеево,59750.0
"Лесной (Московская область, Пушкинский район)",59750.0
Надым,59747.0
Северобайкальск,59736.0
Туруханск,59688.0
Городищи,59688.0
Волжский (Самарская область),59677.0
Цильна,59600.0
Яренск,59562.0
Руза,59553.0
Столбище,59545.0
Туманный,59500.0
Солнечный (Красноярский край),59500.0
Чуровичи,59479.0
Байконур (Кызылорд. обл),59457.0
Ростов-на-Дону,59433.0
Вольгинский,59411.0
посёлок имени Морозова,59403.0
Удомля,59399.0
Ханты-Мансийский АО - Югра,59394.0
Большая Ижора,59392.0
Дмитриевка,59389.0
Красноярка,59389.0
Калевала,59385.0
Пойковский,59384.0
Талшик,59358.0
Луганск,59348.0
Онега,59334.0
Хотьково,59299.0
Анненский Мост,59290.0
Паша,59250.0
Алчевск,59249.0
Новобурейский,59219.0
Троица (Рязанская область),59212.0
Чегдомын,59211.0
Арбаж,59177.0
Троицкая (Ингушетия),59167.0
Артем,59159.0
Разметелево,59155.0
Завьялово (Алтайский край),59150.0
Киренск,59123.0
Николаев,59121.0
Елабуга,59109.0
Воскресенск,59104.0
Линда,59087.0
Октябрьский (Красноярский край),59071.0
Первомайское (Ленинградская область),59066.0
Пыть-Ях,59065.0
Павловский Посад,59043.0
Невельск,59018.0
Гофицкое (Ставропольский край),59000.0
Тюмень,58967.0
Кайеркан,58957.0
Старое Березово,58949.0
Ивано-Франковск,58932.0
Орехово-Зуево (Московская область),58905.0
Летняя Ставка,58900.0
Красноселькуп,58857.0
Сява,58842.0
Сухобезводное,58842.0
Кодинск,58833.0
Ленино (Липецкая область),58820.0
Ноябрьск,58817.0
Аннино (Ленинградская область),58800.0
Суроватиха,58794.0
Шиморское,58790.0
Тумботино,58790.0
Новониколаевка,58779.0
Розовка,58779.0
Куйбышево,58779.0
Андреевка,58757.0
Быков (Сахалинская область),58750.0
Чехов (Сахалинская область),58750.0
Сокол (Сахалинская область),58750.0
Дядьковская,58750.0
Гвинея,58748.0
Караваево,58625.0
Красноярск,58620.0
Коломна,58614.0
Уфа,58613.0
Новоселье (Ленинградская область),58611.0
Кратово,58600.0
Хабаровский край,58599.0
Аргаяш,58593.0
Приволжский,58577.0
Барсуки (Ингушетия),58536.0
Барятино (Калужская область),58519.0
Челябинск,58509.0
Ростов (Ярославская область),58506.0
Черемисиново,58500.0
Рогнедино,58475.0
Кировск (Мурманская область),58469.0
Херсон,58462.0
Кочубей (Дагестан),58458.0
Явас,58429.0
Новая Рассоха (Свердловская область),58375.0
Энергетик,58360.0
Калга,58333.0
Петропавловская (Краснодарский край),58333.0
Уренгой,58278.0
Ермолаево (Башкортостан),58278.0
Захарово,58277.0
Артышта,58260.0
Ревда (Мурманская область),58258.0
Новый (Приморский край),58252.0
Эдиссия,58250.0
Советская (Ставропольский край),58250.0
Оха,58231.0
Икша,58229.0
Ульяновск,58219.0
Реутов,58216.0
Красково,58203.0
Крым (Ростовская область),58171.0
Шатура,58142.0
Гордеевка,58139.0
Марганец,58089.0
Баграмово,58079.0
Новая Заимка,58062.0
Троицкий (Свердловская область),58000.0
Калинин,58000.0
"Юрцово (Московская область, городской округ Егорьевск)",58000.0
Островское,58000.0
Покровское (Свердловская область),58000.0
Богучаны,57989.0
Сургут,57987.0
Поповская (Московская область),57962.0
Карагайлинский,57944.0
Тайцы,57917.0
Дзержинское,57858.0
Электросталь,57843.0
Ленинский (Свердловская область),57798.0
Озерки (Всеволожский район),57784.0
Рязанская,57750.0
Зензеватка,57750.0
Дудаченский,57750.0
Путилково,57744.0
Березовка (Красноярский край),57721.0
Тиличики,57700.0
Углегорск,57695.0
Горбатов,57685.0
Мончегорск,57666.0
Партизанское,57658.0
Ростовка,57650.0
Чернь,57643.0
посёлок Володарского (Московская область),57615.0
Берёзовый (Краснодарский край),57611.0
Байкальск,57580.0
Сестрорецк,57579.0
Красный Луч (Псковская область),57556.0
Архангельское (Московская область),57532.0
"Давыдово (Московская область, Орехово-Зуевский район)",57500.0
Рудничный (Свердловская область),57500.0
Копылово,57500.0
Чёрная Речка (Хабаровский край),57500.0
Бессергеневская,57500.0
Южный (Алтайский край),57500.0
Соколовское (Краснодарский край),57500.0
Туртас,57500.0
Любытино,57450.0
Десятуха,57411.0
Пермь,57410.0
Октябрьский (Московская область),57407.0
Строитель (Тамбовская область),57399.0
Токсово,57393.0
Сергиев Посад,57368.0
Зауральский,57360.0
Менделеевск,57337.0
Пышма,57321.0
Новобатайск,57312.0
Амурзет,57300.0
Большая Соснова,57300.0
Звёздный Городок,57294.0
Борисоглебский,57292.0
Свердловский,57292.0
Совхозный,57292.0
Уральский округ,57256.0
Бабушкин,57236.0
Уват (Тюменская область),57233.0
Бачатский,57227.0
Североонежск,57175.0
Кяхта,57160.0
Белый Яр (Ханты-Мансийский АО),57131.0
Иркутск,57128.0
Чили,57102.0
Кардымово,57100.0
Кронштадт,57085.0
Московская область - Север,57051.0
Татаново,57042.0
Нарын,57013.0
Улан-Хол,57000.0
Каменоломни,57000.0
Артезиан,57000.0
Медное,57000.0
Магаданская область,57000.0
Сосново-Озерское,57000.0
Коробкин,57000.0
Нижневартовск,56987.0
Овстуг,56964.0
Комсомольское (Чувашская Республика),56958.0
"Карамышево (Тульская область, Щёкинский район)",56929.0
Калашниково,56900.0
Прикубанский,56875.0
Первомайское (Томская область),56875.0
Давыдовка,56875.0
Покровск (Якутия),56870.0
Нефтеюганск,56820.0
Ржаница,56792.0
Богандинский,56789.0
Мегион,56783.0
Ульяново (Калужская область),56778.0
Ключи (Алтайский край),56750.0
Тургояк,56750.0
Бабстово,56750.0
Муравленко,56747.0
Коктебель,56728.0
Демьянка (Тюменская область),56728.0
Обнинск,56724.0
Геленджик,56724.0
Никольское (Костромская область),56714.0
Растуново,56700.0
Акбаш (Свердловская область),56667.0
Ленгер (ЮКО),56642.0
Тверь,56628.0
Воротынец,56619.0
"Юмагузино (Кугарчинский район, Башкортостан)",56571.0
Алкино-2,56558.0
Воронеж,56542.0
Супсех,56500.0
Мурманск,56496.0
Новый Городок,56493.0
Шушары,56475.0
Югорск,56430.0
Чигири (Амурская область),56400.0
Кудрово,56393.0
Феодосия,56387.0
Шушенское,56367.0
Дедовск,56325.0
Южный (Краснодарский край),56321.0
Сибирцево (Приморский край),56320.0
Можайск,56299.0
Уральский (Свердловская область),56280.0
Белоярский,56278.0
Шербакуль,56269.0
Катав-Ивановск,56256.0
Симферополь,56252.0
Дрокино,56250.0
Переправная,56250.0
Попутная,56250.0
Пачелма,56250.0
Орел-Изумруд (Краснодарский край),56250.0
Усть-Баргузин,56250.0
Октябрьское (Ставропольский край),56250.0
Большой Улуй,56250.0
Спокойная,56250.0
Омсукчан,56224.0
Ялта,56219.0
Упорово,56210.0
Абай,56124.0
Агалатово,56124.0
Марьяновка,56100.0
Михайловка (Приморский край),56067.0
Шатки,56062.0
Зверосовхоз (Московская область),56050.0
Большие Кайбицы,56043.0
Калуга,56034.0
Новый Кременкуль,56000.0
Нижний Одес,55986.0
Гусь-Железный,55980.0
Славянка,55938.0
Ставропольская,55938.0
Заволжск,55920.0
Правдинский,55906.0
Октябрьское (Челябинская область),55885.0
Ухолово,55865.0
Курджиново,55833.0
Березовка (Алтайский край),55833.0
Лебяжье (Алтайский край),55833.0
Людиново,55829.0
Балей,55823.0
Демянск,55786.0
Тамань,55761.0
Поварово,55760.0
Акбулак,55750.0
Ямайка,55706.0
Тайшет,55706.0
Медвежьи Озёра,55704.0
Ворсино (Калужская область),55696.0
Ильинский (Московская область),55685.0
Ливия,55612.0
Ярославль,55594.0
Сарс,55583.0
Новомихайловский,55580.0
Котовск (Тамбовская область),55577.0
Шатрово,55562.0
Мамоново (Московская область),55557.0
Шварцевский,55500.0
Пушкин,55487.0
Жигалово,55487.0
Нагорск,55486.0
Кадошкино,55455.0
Любохна,55449.0
Приамурский,55400.0
Лесосибирск,55393.0
Ясенская,55375.0
Лабытнанги,55359.0
Усть-Калманка,55359.0
Ижевское,55354.0
Новая Игирма,55350.0
Красное Село,55329.0
Армянск,55325.0
Центральный,55317.0
Тонкино,55308.0
Сокольское,55305.0
Райчихинск,55245.0
Баргузин,55240.0
Маркова,55238.0
Ракитное (Белгородская область),55214.0
Комсомольск-на-Амуре,55207.0
Новоселицкое,55167.0
Бегуницы,55167.0
Кашира,55159.0
Шелаболиха,55143.0
Новосёлово,55136.0
Монастырщина,55125.0
Верхнеднепровский,55124.0
Ветлужский,55083.0
Новоалексеевское (Свердловская область),55083.0
Афанасьево (Кировская область),55083.0
Вяземский,55080.0
Кемерово,55061.0
Ермаковское,55042.0
Парабель,55017.0
Серебряные Пруды,55015.0
Немчиновка,55007.0
Труновское (Ставропольский край),55000.0
Чулково (Рязанская область),55000.0
Пено,55000.0
Кытманово,55000.0
Малиновое Озеро,55000.0
Крутиха,55000.0
Славгородское,55000.0
Таштып,55000.0
Половинное (Новосибирская область),55000.0
Налобиха,55000.0
Прохладный (Свердловская область),55000.0
Асыката,55000.0
Курья,55000.0
Кабанбай,55000.0
Нагорный (Камчатский край),55000.0
Зелёная Дубрава,55000.0
Образцы,55000.0
Соколово,55000.0
Разбегаево (Ленинградская область),55000.0
Куйтун (Республика Бурятия),55000.0
Кокпекты,55000.0
Ёнский,55000.0
Жетыбай (Мангистауская область),55000.0
Ломинцевский,55000.0
Варзуга,55000.0
Кесова Гора,55000.0
Ики-Бурул,55000.0
Преградная,55000.0
Всеволожск,54995.0
Лучегорск,54993.0
Благовещенск (Амурская область),54985.0
Мамадыш,54982.0
Пижма,54962.0
Магнитка (Кусинский район),54958.0
Сосновка (Кемеровская область),54938.0
Уральский (Пермский край),54929.0
Спасск,54889.0
Федяково (Нижегородская область),54880.0
Кострома,54852.0
Медногорский,54850.0
Переяславка,54850.0
Верхний Уфалей,54834.0
Габон,54830.0
Рошаль,54806.0
Ильинское,54803.0
Тайтурка,54783.0
Советское (Алтайский край),54750.0
Новоульяновск,54749.0
Дубки (Саратовская область),54738.0
Волоколамск,54700.0
Дмитровск,54674.0
Первомайское (Московская область),54667.0
Бокситогорск,54632.0
Ново-Переделкино,54629.0
Пангоды,54625.0
Шерловая Гора,54625.0
Синдор,54625.0
Рязань,54599.0
Мужи,54591.0
Краснохолм,54555.0
Борзя,54542.0
Уйское (Челябинская область),54521.0
Климово (Брянская область),54511.0
Алматы,54510.0
Зелёный,54500.0
Соломенское,54500.0
Теплоозёрск,54500.0
Ирак,54462.0
Старый Крым,54458.0
Константиновка,54439.0
Надвоицы,54423.0
Новокубанск,54414.0
Биробиджан,54406.0
Архангельск,54399.0
Нягань,54385.0
Тула,54373.0
Стрежевой,54352.0
Егорьевск,54310.0
Белореченск,54287.0
Выборг,54166.0
Гусиноозерск,54164.0
Протвино,54158.0
Елизово,54113.0
Дедовичи,54071.0
Птичное,54062.0
Белогорск (Крым),54061.0
Кельмаксола,54000.0
Эркен-Шахар,54000.0
Новоселенгинск,54000.0
Головеньковский,54000.0
Натухаевская,54000.0
Дмитровский Погост,53992.0
Турочак,53985.0
Кировск (Ленинградская область),53977.0
Бакалы,53955.0
"Демихово (Московская область, Орехово-Зуевский район)",53933.0
Луховицы,53930.0
Медынь,53893.0
Донское,53853.0
Донецк (Ростовская область),53851.0
Одоев,53838.0
Зеленчукская,53803.0
Суземка,53781.0
Володарск,53757.0
Новоегорьевское,53750.0
Лысогорская,53750.0
Молочное (Вологодская область),53750.0
Константиновская,53750.0
Преображенка,53750.0
Куруш (Хасавюртовский район),53750.0
Андреево,53750.0
Пронск,53736.0
Анива,53728.0
Нижнекамск,53728.0
Учалы,53720.0
Нязепетровск,53719.0
Нюрба,53682.0
Кокино,53672.0
Верхнеуральск,53670.0
Центральный (Рязанская область),53667.0
Саратов,53665.0
Жуков,53646.0
Сеща,53646.0
Лопандино,53646.0
Дуван,53643.0
Кизильское,53625.0
Угловское,53600.0
Старая (Ленинградская область),53600.0
Хатанга,53572.0
Пикалево,53546.0
Великий Новгород,53530.0
Гулистан,53528.0
Серпухов,53527.0
Светлополянск,53520.0
Большое Буньково,53504.0
Башмаково,53500.0
Шуйское,53500.0
Барсуки,53500.0
Редкино (Тверская область),53493.0
Приволжск,53483.0
Алексеевская (Краснодарский край),53469.0
Хотынец,53422.0
Шипицыно,53417.0
Мирное (Республика Крым),53410.0
Нагорный,53396.0
Набережные Челны,53393.0
Александровск-Сахалинский,53393.0
Березовский (Свердловская область),53383.0
Лапино,53375.0
Киров (Калужская область),53368.0
Рогачево,53366.0
Песчанокопское,53333.0
Чажемто,53333.0
Редкино,53333.0
Улу-Теляк,53333.0
Калманка,53333.0
Тогур,53333.0
Донское (Ставропольский край),53333.0
Дмитриевская (Краснодарский край),53333.0
Благовещенск (Республика Башкортостан),53326.0
Тосно,53318.0
Перевальное,53311.0
Мазанка,53311.0
Комсомольское (Республика Крым),53311.0
Укромное,53311.0
Скворцово (Республика Крым),53311.0
Пионерское,53311.0
Аграрное,53311.0
Родниково,53311.0
Молодежное,53311.0
Доброе (Республика Крым),53311.0
Белоглинка,53311.0
Бетлица,53308.0
Теплая Гора,53300.0
Ивот,53268.0
Кокоревка,53268.0
Гуляйполе,53265.0
Горноуральский,53250.0
Хомутово (Иркутская область),53227.0
Авсюнино,53226.0
Епифань,53219.0
Белогорск (Кемеровская область),53208.0
Войвож,53208.0
Астрахань,53184.0
Сумы,53168.0
Чамзинка,53156.0
Грицовский,53150.0
Верхнеяркеево,53121.0
Молдавия,53109.0
Приморский (Республика Крым),53088.0
Мраково,53083.0
Волхов,53054.0
Андрюки,53050.0
Одесское,53031.0
Агидель,53013.0
Вахрушево (Челябинская область),53000.0
Майя,53000.0
Покровское (Ярославская область),53000.0
Григорьевка (Челябинская область),53000.0
Кедровка,52997.0
Глухово,52997.0
Партизанск,52996.0
Каменка (Ленинградская область),52990.0
Калязин,52970.0
Новоорск,52951.0
Баймак,52909.0
Рославль,52902.0
Чунский,52894.0
Октябрьский (Пермский край),52887.0
Ижевск,52887.0
Тирлянский,52872.0
Волгоград,52820.0
Кашино (Свердловская область),52800.0
Белгород,52780.0
Гайны (Пермский край),52778.0
Дальнее Константиново,52766.0
Моршанск,52763.0
Окуловка,52760.0
Чита,52750.0
Ефимовский,52750.0
Винницы,52750.0
Маслова Пристань,52750.0
Грахово,52735.0
Деденево,52722.0
Смидович (Еврейская АО),52719.0
Вышгород,52702.0
Македония,52697.0
Кара-Куль,52682.0
Вышний Волочек,52676.0
Афипский,52652.0
Дубна (Тульская область),52647.0
Находка,52644.0
Берёзовый (Хабаровский край),52643.0
Кулебаки,52622.0
Комунарка,52592.0
Топчиха,52550.0
Власиха,52546.0
Выкса,52524.0
Панкрушиха,52500.0
Арсеньево,52500.0
Арпачин,52500.0
Умба,52500.0
Уваровка (Московская область),52500.0
Шайдурово (Свердловская область),52500.0
Терекли-Мектеб,52500.0
Чарышское,52500.0
Нестеровская (Ингушетия),52500.0
Лычак,52500.0
Новогуровский,52500.0
Юрты,52500.0
Нижняя Шиловка,52500.0
Виноградный (муниципальное образование город-курорт Анапа),52500.0
Константиновская (Краснодарский край),52500.0
Рябичев,52500.0
Нижнебаканская,52500.0
Заветный,52500.0
Мамедкала,52500.0
Манаскент,52500.0
Мирный (Ростовская область),52500.0
Победа (Волгодонский район),52500.0
Жуковское,52500.0
Леньки,52500.0
Мирской (Кавказский район),52500.0
Коноша,52500.0
Орехово-Зуево,52495.0
Благоево (Коми),52458.0
Малые Вязёмы,52439.0
Озерск (Челябинская область),52432.0
Роза (Челябинская область),52430.0
Ворсма,52417.0
Кулой,52417.0
Уссурийск,52388.0
Зуя,52354.0
Украина,52354.0
Нурлат,52348.0
Сухиничи,52334.0
Нагутское,52333.0
Обильное (Ставропольский край),52333.0
Балабаново,52330.0
Самарканд,52324.0
Сорск,52320.0
Хор (Хабаровский край),52312.0
Верхний Тагил,52308.0
Дубровка (Ленинградская область),52300.0
Незлобная,52300.0
Невьянск,52297.0
Долинск,52293.0
Кимры,52276.0
Белгород-Днестровский,52269.0
Иланский,52269.0
"Лесные Поляны (Московская область, Пушкинский район)",52243.0
Гатчина,52242.0
Тулун,52219.0
Булунгур,52203.0
Красная Поляна (Кировская область),52203.0
Апшеронск,52198.0
Лангепас,52190.0
Вохтога,52190.0
Киевское (Краснодарский край),52189.0
Старолеушковская,52175.0
Малоархангельск,52161.0
Сертолово,52158.0
Исландия,52141.0
Пенза,52137.0
Закаменск,52135.0
Каракол,52129.0
Хороль,52118.0
Ленинское (Новосибирская область),52114.0
Орлов,52102.0
Сузун,52089.0
Могоча,52064.0
Кабаково (Башкортостан),52042.0
"Красная Горка (Нуримановский район, Башкортостан)",52042.0
Нижний Ингаш,52040.0
Кавалерово,52040.0
Каратау,52029.0
Снежное,52028.0
Абаза,52008.0
Беломорск,52002.0
Исеть,52000.0
Верхнемарково,52000.0
Пушкино (Липецкая область),52000.0
Балково,52000.0
Константиновка (Амурская область),52000.0
Старонижестеблиевская,52000.0
Усть-Илимск,51989.0
Малое Карлино,51964.0
Дмитровское,51958.0
Красноборск,51950.0
Темижбекская,51950.0
Путятино,51950.0
Баговская,51938.0
Аша,51933.0
Ноокат,51927.0
