Город,Средняя зарплата
Черданцево,112500.0
Кубинка (Московская область),112176.0
Покровское (городской округ Истра),112098.0
Нахабино (Московская область),112042.0
Эвенск,111833.0
Новый Уоян,111667.0
Выездное,111637.0
Карагач (Кабардино-Балкария),111333.0
Минск,110492.0
Жуково (городской округ Домодедово),110000.0
Агеево (Тамбовская область),110000.0
Крекшино (Московская область),110000.0
Южный (Тульская область),110000.0
Новопетровское (Московская область),110000.0
Ульт-Ягун,110000.0
Петровский (Тульская область),110000.0
Сытомино,110000.0
Томилино (Московская область),110000.0
Краснозаводск (Московская область),110000.0
Софрино (Московская область),110000.0
Ашукино (Московская область),110000.0
Угут,110000.0
Тайвань,109603.0
Бутово,109467.0
Киев,109445.0
Москва,109408.0
Каменка,109035.0
Кувейт,108810.0
Дмитров (Московская область),108675.0
Екатериновка (Краснодарский край),108333.0
Каменское,108013.0
Емца,107844.0
Менделеево,107500.0
Русскинская,106667.0
Мытищи (Московская область),106331.0
Боржоми,106235.0
Новый Порт,105926.0
Певек,105223.0
Сумгаит,105163.0
Комсомольск (Томская область),105000.0
Чульман,105000.0
Русский,105000.0
Дукат (Магаданская область),105000.0
Вахтан,104865.0
Новокорсунская,104625.0
Лукино,104560.0
Макаров (Киевская область),104376.0
Двинской,103275.0
Кедровый (Красноярский край),103111.0
Облучье,102927.0
Республика Саха (Якутия),102247.0
Зугдиди,101941.0
Александровская (Краснодарский край),101750.0
Денау,101730.0
Протвино (Московская область),101688.0
Троицк (Москва),101649.0
Домодедово (Московская область),101578.0
Отрадное (Городской округ Красногорск),101500.0
Владимир-Волынский,101291.0
Лобня (Московская область),101117.0
Луховицы  (Московская область),101018.0
Арья,100930.0
Красногорск (Московская область),100781.0
Сабетта (Ямало-Ненецкий АО),100548.0
Большое Мурашкино,100538.0
Монино (Московская область),100500.0
Солнечногорск (Московская область),100458.0
Михайловка (Иркутская область),100400.0
Охотск,100139.0
Буссевка,100000.0
Барабаш,100000.0
Ариадное,100000.0
Воздвиженка,100000.0
Милоградово,100000.0
Ольга,100000.0
Восток,100000.0
Анучино,100000.0
Троицкое (Хабаровский край),100000.0
Зарубино,100000.0
Малиново,100000.0
Ивановка (Приморский край),100000.0
Липовцы,100000.0
Лазо (Дальнореченский округ),100000.0
Краснореченский,100000.0
Лазо (Лазовский район),100000.0
Новопокровка,100000.0
Новоникольск,100000.0
Моряк-Рыболов,100000.0
Новокачалинск,100000.0
Невер,100000.0
Соколовый,100000.0
Новонежино (Приморский край),100000.0
Варваровка,100000.0
Горки (Ямало-Ненецкий АО),100000.0
Снегири (Московская область),100000.0
Новокиевский Увал,100000.0
Новорайчихинск,100000.0
Приполярный,100000.0
Среднебелая,100000.0
Ома (Ямало-Ненецкий АО),100000.0
Поздеевка,100000.0
Новостройка,100000.0
Новосысоевка,100000.0
Краскино,100000.0
Лычково,100000.0
Галенки,100000.0
Вострецово,100000.0
Седельниково,100000.0
Кацивели,100000.0
Северный (Нижегородская область),100000.0
Новый (Камчатский край),100000.0
Любучаны (Московская область),100000.0
Зеленоград (Московская область),100000.0
Хорлово,100000.0
Большегривское,100000.0
Найстенъярви,100000.0
Малореченское,100000.0
Девица (Приморский край),100000.0
Дунай,100000.0
Дзержинск (Донецкая область),99773.0
Лыткарино  (Московская область),99415.0
Селятино (Московская область),99333.0
Ступино (Московская область),98666.0
Близнюки,98386.0
Валки,98386.0
Одинцово (Московская область),97924.0
Ивантеевка (Московская область),97917.0
Кыра,97500.0
Минское,97251.0
Виля,97122.0
Намибия,96924.0
Щербинка (Московская область),96771.0
Колумбия,96697.0
Конезавод имени Буденного,96669.0
Химки (Московская область),96605.0
Лесное (Тверская область),96500.0
ЛМС (Московская область),96375.0
Белушья Губа,96275.0
Выползово,96250.0
Новорождественская,96200.0
Республика Хакасия,96182.0
Республика Гаити,96000.0
Северо-Енисейский (Красноярский край),95191.0
Нижнеангарск,95000.0
Ханымей,95000.0
Гжель (Московская область),95000.0
Баку,94796.0
Видное (Московская область),94719.0
Гори,94628.0
Билибино,94552.0
Железнодорожный (Иркутская область),94525.0
Ташкиново,94290.0
Ровно,94128.0
Вольногорск,93948.0
Ямбург (Ямало-Ненецкий АО),93827.0
Клин (Московская область),93689.0
Зестафони,93429.0
Новокуровка (Хабаровский край),93333.0
Виноградов,93177.0
Ильинско-Подомское,92589.0
Фрязино (Московская область),92520.0
Долгопрудный (Московская область),92238.0
Жуковка (Брянская область),92187.0
Горноправдинск,92000.0
