Город,Доля вакансий
Москва,0.338
Санкт-Петербург,0.101
Минск,0.035
Новосибирск,0.024
Екатеринбург,0.022
Нижний Новгород,0.021
Алматы,0.02
Киев,0.02
Казань,0.02
Воронеж,0.016
Краснодар,0.015
Самара,0.013
Ростов-на-Дону,0.013
Пермь,0.01
